,11/30/2022,0.22%,-5.05%,1.37%,0.83%,-0.63%,2.35%,4.10%,1.10%,-0.98%,-1.59%,-0.81%,0.08%
,12/7/2022,-0.68%,-1.49%,0.29%,-5.57%,-0.18%,0.23%,-3.09%,9.52%,8.13%,0.07%,4.07%,1.03%
,12/14/2022,0.74%,-1.85%,1.94%,-1.54%,-4.42%,-1.57%,1.87%,3.81%,3.11%,0.12%,3.53%,0.52%
,12/21/2022,0.84%,2.64%,2.34%,-2.83%,-0.99%,-1.10%,4.07%,1.49%,0.68%,-0.43%,1.45%,0.74%
,12/28/2022,0.03%,-0.94%,0.30%,-1.12%,-2.28%,-0.58%,-3.22%,1.07%,-2.03%,-3.31%,1.96%,-0.92%
,1/4/2023,0.51%,-1.16%,-0.05%,-2.80%,0.28%,2.22%,-0.72%,-2.43%,-1.44%,0.97%,-4.03%,-0.79%
,1/11/2023,1.39%,-7.91%,-0.69%,-7.56%,0.08%,-1.98%,-3.24%,-3.87%,-2.21%,-0.59%,-4.28%,-2.81%
,1/18/2023,-1.46%,4.89%,-1.47%,5.34%,0.83%,0.59%,1.63%,8.23%,0.84%,-2.45%,0.22%,1.56%
,1/25/2023,-2.45%,-4.05%,-2.08%,-4.33%,-8.06%,1.79%,1.51%,-1.74%,0.19%,-4.30%,-1.25%,-2.25%
,2/1/2023,1.51%,3.03%,3.43%,-1.27%,-2.34%,4.04%,2.75%,2.74%,0.75%,1.22%,0.09%,1.45%
,2/8/2023,3.25%,0.15%,1.18%,5.35%,2.09%,0.12%,1.15%,2.64%,3.91%,-0.45%,-0.26%,1.74%
,2/15/2023,0.44%,1.59%,0.07%,-1.14%,0.72%,-2.08%,-6.05%,0.27%,1.87%,-1.27%,4.82%,-0.07%
,2/22/2023,-0.41%,7.58%,-0.02%,-2.66%,2.24%,-0.27%,3.31%,-0.98%,2.47%,-0.51%,-1.37%,0.85%
,3/1/2023,0.17%,-2.30%,-0.23%,1.03%,-0.41%,0.09%,-0.26%,2.52%,1.29%,-3.84%,0.96%,-0.09%
,3/8/2023,1.17%,0.05%,0.13%,-1.69%,-4.96%,-0.54%,0.85%,1.49%,2.14%,0.35%,0.93%,-0.01%
,3/15/2023,2.21%,1.44%,0.55%,-0.17%,-6.19%,3.35%,2.35%,5.72%,1.78%,0.94%,-0.31%,1.06%
,3/22/2023,-2.93%,-2.87%,-3.27%,-6.54%,-7.70%,-3.18%,-3.15%,1.51%,-6.99%,-4.69%,2.06%,-3.43%
,3/29/2023,0.98%,1.79%,2.27%,1.45%,-1.29%,-0.33%,-0.36%,1.62%,-1.34%,-1.66%,-1.07%,0.19%
,4/5/2023,2.05%,-2.59%,-0.57%,-4.30%,-1.22%,-0.92%,-0.21%,4.24%,0.17%,1.69%,-3.55%,-0.47%
,4/12/2023,-0.30%,-0.15%,0.66%,0.87%,-1.25%,-1.54%,1.33%,-1.25%,2.17%,2.35%,4.50%,0.67%
,4/19/2023,-2.03%,0.58%,-2.04%,-2.80%,-0.27%,7.60%,-2.62%,-4.03%,-6.68%,-1.76%,4.94%,-0.83%
,4/26/2023,0.71%,3.40%,-1.87%,1.57%,1.94%,-3.16%,-0.02%,1.50%,-2.22%,-0.04%,-1.18%,0.06%
,5/3/2023,12.94%,7.09%,2.79%,-0.62%,0.63%,-0.67%,2.95%,5.56%,4.64%,1.47%,11.35%,4.37%
,5/10/2023,6.77%,-1.05%,2.03%,6.54%,2.91%,3.23%,0.94%,0.53%,-4.09%,-1.61%,9.96%,2.38%
